"X","Y","DateTime","EpochTime"
"1269.5012","820.9486","2017-10-08 18:17:57.682","1507501077682"
"1269.9832","820.3497","2017-10-08 18:17:57.715","1507501077715"
"1270.8596","819.7316","2017-10-08 18:17:57.748","1507501077748"
"1270.7098","819.525","2017-10-08 18:17:57.782","1507501077782"
"1272.5155","818.724","2017-10-08 18:17:57.815","1507501077815"
"1273.9979","818.1637","2017-10-08 18:17:57.848","1507501077848"
"1275.3921","817.6765","2017-10-08 18:17:57.882","1507501077882"
"1277.2073","817.1202","2017-10-08 18:17:57.915","1507501077915"
"1279.226","816.5559","2017-10-08 18:17:57.948","1507501077948"
"1281.4154","815.9511","2017-10-08 18:17:57.981","1507501077981"
"1283.426","815.4844","2017-10-08 18:17:58.015","1507501078015"
"1285.0765","815.3444","2017-10-08 18:17:58.048","1507501078048"
"1039.2148","673.155","2017-10-08 18:17:58.081","1507501078081"
"1003.6578","646.7114","2017-10-08 18:17:58.115","1507501078115"
"1007.2053","643.9413","2017-10-08 18:17:58.148","1507501078148"
"1008.3253","639.4598","2017-10-08 18:17:58.181","1507501078181"
"1009.1762","636.6508","2017-10-08 18:17:58.215","1507501078215"
"1008.629","631.538","2017-10-08 18:17:58.248","1507501078248"
"992.081","637.1724","2017-10-08 18:17:58.282","1507501078282"
"1003.0247","630.2622","2017-10-08 18:17:58.315","1507501078315"
"1005.4832","631.571","2017-10-08 18:17:58.348","1507501078348"
"983.6955","664.5895","2017-10-08 18:17:58.381","1507501078381"
"962.402","711.2011","2017-10-08 18:17:58.414","1507501078414"
"942.6689","759.0055","2017-10-08 18:17:58.448","1507501078448"
"621.7061","1319.7216","2017-10-08 18:17:58.481","1507501078481"
"704.5112","1309.5808","2017-10-08 18:17:58.514","1507501078514"
"699.3967","1308.4583","2017-10-08 18:17:58.548","1507501078548"
"706.4673","1294.4712","2017-10-08 18:17:58.581","1507501078581"
"709.3604","1280.4554","2017-10-08 18:17:58.614","1507501078614"
"707.3086","1270.2103","2017-10-08 18:17:58.648","1507501078648"
"685.4609","1228.424","2017-10-08 18:17:58.681","1507501078681"
"693.4955","1216.8163","2017-10-08 18:17:58.714","1507501078714"
"676.6237","1227.0453","2017-10-08 18:17:58.747","1507501078747"
"685.5062","1221.4624","2017-10-08 18:17:58.781","1507501078781"
"690.8604","1218.0825","2017-10-08 18:17:58.814","1507501078814"
"697.7692","1214.0042","2017-10-08 18:17:58.847","1507501078847"
"702.2412","1211.3611","2017-10-08 18:17:58.881","1507501078881"
"706.5513","1209.0334","2017-10-08 18:17:58.914","1507501078914"
"710.7347","1206.8463","2017-10-08 18:17:58.947","1507501078947"
"714.5012","1204.9392","2017-10-08 18:17:58.981","1507501078981"
"717.9058","1203.2919","2017-10-08 18:17:59.014","1507501079014"
"721.3983","1201.5674","2017-10-08 18:17:59.047","1507501079047"
"724.7056","1199.9414","2017-10-08 18:17:59.081","1507501079081"
"727.4543","1198.6071","2017-10-08 18:17:59.114","1507501079114"
"730.272","1197.285","2017-10-08 18:17:59.147","1507501079147"
"732.8979","1196.0873","2017-10-08 18:17:59.180","1507501079180"
"735.6034","1194.9462","2017-10-08 18:17:59.214","1507501079214"
"739.1772","1193.4602","2017-10-08 18:17:59.247","1507501079247"
"868.2672","922.8885","2017-10-08 18:17:59.280","1507501079280"
"894.7905","791.5704","2017-10-08 18:17:59.314","1507501079314"
"900.0314","766.665","2017-10-08 18:17:59.347","1507501079347"
"902.0315","751.1981","2017-10-08 18:17:59.380","1507501079380"
"902.814","740.1099","2017-10-08 18:17:59.414","1507501079414"
"906.337","723.0508","2017-10-08 18:17:59.447","1507501079447"
"917.8394","654.1145","2017-10-08 18:17:59.480","1507501079480"
"904.6827","663.1387","2017-10-08 18:17:59.514","1507501079514"
"904.2431","662.1818","2017-10-08 18:17:59.547","1507501079547"
"903.2886","664.6008","2017-10-08 18:17:59.580","1507501079580"
"901.7794","663.0813","2017-10-08 18:17:59.613","1507501079613"
"900.8375","661.1736","2017-10-08 18:17:59.647","1507501079647"
"900.3062","659.3324","2017-10-08 18:17:59.680","1507501079680"
"899.7703","658.4515","2017-10-08 18:17:59.713","1507501079713"
"899.25","657.8953","2017-10-08 18:17:59.747","1507501079747"
"898.826","658.4023","2017-10-08 18:17:59.780","1507501079780"
"898.4446","657.5272","2017-10-08 18:17:59.813","1507501079813"
"898.1064","656.8","2017-10-08 18:17:59.847","1507501079847"
"897.9286","656.4391","2017-10-08 18:17:59.880","1507501079880"
"897.7909","655.8536","2017-10-08 18:17:59.913","1507501079913"
"897.7352","655.9229","2017-10-08 18:17:59.946","1507501079946"
"897.6265","655.7093","2017-10-08 18:17:59.980","1507501079980"
"898.0708","655.1414","2017-10-08 18:18:00.013","1507501080013"
"898.4835","654.3033","2017-10-08 18:18:00.046","1507501080046"
"1128.8381","630.5735","2017-10-08 18:18:00.080","1507501080080"
"1130.8717","634.941","2017-10-08 18:18:00.113","1507501080113"
"1133.3751","637.4444","2017-10-08 18:18:00.146","1507501080146"
"1127.5867","633.0488","2017-10-08 18:18:00.180","1507501080180"
"0.0","0.0","2017-10-08 18:18:00.213","1507501080213"
"0.0","0.0","2017-10-08 18:18:00.246","1507501080246"
"1128.4023","635.0651","2017-10-08 18:18:00.280","1507501080280"
"1119.226","633.5968","2017-10-08 18:18:00.313","1507501080313"
"940.4304","698.6669","2017-10-08 18:18:00.346","1507501080346"
"942.2532","705.5772","2017-10-08 18:18:00.379","1507501080379"
"966.868","688.8026","2017-10-08 18:18:00.413","1507501080413"
"971.9086","684.389","2017-10-08 18:18:00.446","1507501080446"
"973.4349","682.3453","2017-10-08 18:18:00.479","1507501080479"
"979.7947","674.544","2017-10-08 18:18:00.513","1507501080513"
"979.2335","672.5407","2017-10-08 18:18:00.546","1507501080546"
"979.0112","670.9587","2017-10-08 18:18:00.579","1507501080579"
"978.3839","670.1157","2017-10-08 18:18:00.613","1507501080613"
"977.9923","669.0369","2017-10-08 18:18:00.646","1507501080646"
"978.2384","666.6198","2017-10-08 18:18:00.679","1507501080679"
"976.3481","667.2543","2017-10-08 18:18:00.713","1507501080713"
"976.1285","665.0698","2017-10-08 18:18:00.746","1507501080746"
"973.9548","664.936","2017-10-08 18:18:00.779","1507501080779"
"972.2982","665.5026","2017-10-08 18:18:00.812","1507501080812"
"968.7714","669.7708","2017-10-08 18:18:00.846","1507501080846"
"962.2268","678.0607","2017-10-08 18:18:00.879","1507501080879"
"956.1598","685.6766","2017-10-08 18:18:00.913","1507501080913"
"952.763","690.1624","2017-10-08 18:18:00.946","1507501080946"
"841.6859","855.4872","2017-10-08 18:18:00.979","1507501080979"
