"X","Y","DateTime","EpochTime"
"725.243","1203.9972","2017-10-08 18:42:44.139","1507502564139"
"726.7955","1202.3323","2017-10-08 18:42:44.172","1507502564172"
"726.9557","1200.903","2017-10-08 18:42:44.205","1507502564205"
"728.0778","1198.3168","2017-10-08 18:42:44.239","1507502564239"
"729.6954","1194.452","2017-10-08 18:42:44.272","1507502564272"
"731.177","1190.4885","2017-10-08 18:42:44.305","1507502564305"
"730.0121","1182.9603","2017-10-08 18:42:44.339","1507502564339"
"727.4913","1176.5145","2017-10-08 18:42:44.372","1507502564372"
"723.1081","1170.0535","2017-10-08 18:42:44.405","1507502564405"
"722.0072","1166.5542","2017-10-08 18:42:44.439","1507502564439"
"720.5598","1162.9084","2017-10-08 18:42:44.472","1507502564472"
"718.1723","1159.2974","2017-10-08 18:42:44.505","1507502564505"
"713.1747","1152.651","2017-10-08 18:42:44.539","1507502564539"
"843.248","1051.795","2017-10-08 18:42:44.572","1507502564572"
"844.0288","1053.8303","2017-10-08 18:42:44.605","1507502564605"
"843.3494","1054.0345","2017-10-08 18:42:44.638","1507502564638"
"842.4227","1053.0677","2017-10-08 18:42:44.672","1507502564672"
"839.6157","1052.2506","2017-10-08 18:42:44.705","1507502564705"
"838.3785","1053.9725","2017-10-08 18:42:44.738","1507502564738"
"828.5598","1054.0549","2017-10-08 18:42:44.772","1507502564772"
"825.1934","1054.3114","2017-10-08 18:42:44.805","1507502564805"
"823.481","1054.6311","2017-10-08 18:42:44.838","1507502564838"
"821.9412","1054.7499","2017-10-08 18:42:44.872","1507502564872"
"820.2545","1054.6418","2017-10-08 18:42:44.905","1507502564905"
"818.6644","1054.6127","2017-10-08 18:42:44.938","1507502564938"
"816.4152","1054.1193","2017-10-08 18:42:44.972","1507502564972"
"0.0","0.0","2017-10-08 18:42:45.005","1507502565005"
"684.5033","642.0411","2017-10-08 18:42:45.038","1507502565038"
"689.662","637.0629","2017-10-08 18:42:45.071","1507502565071"
"690.6953","634.508","2017-10-08 18:42:45.105","1507502565105"
"719.0256","620.0233","2017-10-08 18:42:45.138","1507502565138"
"749.5533","604.4917","2017-10-08 18:42:45.171","1507502565171"
"805.7933","577.3124","2017-10-08 18:42:45.205","1507502565205"
"1074.6685","430.9569","2017-10-08 18:42:45.238","1507502565238"
"1060.6287","439.4273","2017-10-08 18:42:45.272","1507502565272"
"1065.24","438.4857","2017-10-08 18:42:45.305","1507502565305"
